id,price_doc
30474,5498940.5
30475,8213259.0
30476,5913446.5
30477,5898690.0
30478,5072571.0
30479,8287094.0
30480,4092435.5
30481,4299660.0
30482,4874227.5
30483,4844352.0
30484,6672481.0
30485,5164151.5
30486,4018544.75
30487,4150988.0
30488,6059439.5
30489,6278305.5
30490,21401124.0
30491,21932166.0
30492,6308077.5
30493,14403530.0
30494,6821908.5
30495,11050308.0
30496,9043040.0
30497,8207727.5
30498,4550359.5
30499,7963593.5
30500,11536212.0
30501,7161057.5
30502,3395896.75
30503,6963475.5
30504,5956199.0
30505,11423494.0
30506,3433389.5
30507,4804491.0
30508,5243962.5
30509,7827100.5
30510,9502134.0
30511,6847858.5
30512,6604921.5
30513,4092435.5
30514,3615770.5
30515,9908258.0
30516,5925130.5
30517,12226858.0
30518,7864706.0
30519,4867892.5
30520,7407566.0
30521,6361019.5
30522,7284973.5
30523,6737429.5
30524,11999812.0
30525,10934678.0
30526,4923921.0
30527,5049854.0
30528,6978723.0
30529,7568406.0
30530,6682361.5
30531,15231098.0
30532,4899825.5
30533,11230970.0
30534,6967205.5
30535,9766356.0
30536,5726000.0
30537,12392806.0
30538,5235453.5
30539,9479320.0
30540,10080048.0
30541,5642305.0
30542,2172195.5
30543,5929264.5
30544,7331195.0
30545,9063996.0
30546,4317763.0
30547,9535282.0
30548,4544207.5
30549,5135379.0
30550,12685394.0
30551,5319906.0
30552,1961101.625
30553,7793443.5
30554,10861324.0
30555,6062186.0
30556,9636414.0
30557,8546062.0
30558,9516138.0
30559,6909325.0
30560,6365017.5
30561,7229905.0
30562,12282112.0
30563,4795136.0
30564,7657216.0
30565,7328937.5
30566,7269843.5
30567,2022154.875
30568,10527224.0
30569,10081946.0
30570,7158672.5
30571,7651114.5
30572,5011753.5
30573,6794622.0
30574,6593937.0
30575,7702320.0
30576,5276556.5
30577,4526510.0
30578,3574957.5
30579,7396248.0
30580,4916300.5
30581,6344910.5
30582,14064526.0
30583,6980204.0
30584,5097768.0
30585,2697718.75
30586,9054482.0
30587,5914736.0
30588,8150335.0
30589,7145289.5
30590,13003686.0
30591,5287307.5
30592,6884550.0
30593,8493992.0
30594,6866640.5
30595,5986387.0
